sample,submission_id,status
"s = list ( input ( ) ) 
 ans = [ ] 
 for i in s : 
 if i = = 'b' : 
 if len ( ans ) ! = 0 : ans . pop ( ) 
 else : 
 ans . append ( i ) 
 print ( "" "" . join ( ans ) )",s112201099,"29    Accepted
Name: status, dtype: object"
"s = input ( ) 
 n = len ( s ) 
 a = [ ] 
 
 for i in range ( n ) : 
 if s [ i ] ! = 'b' : 
 a . append ( s [ i ] ) 
 else : 
 if a ! = [ ] : 
 del a [ - 1 ] 
 print ( '' . join ( a ) ) 
",s114755597,"165    Accepted
Name: status, dtype: object"
"from collections import deque 
 s = input ( ) 
 l = len ( s ) 
 d = deque ( ) 
 for i in range ( l ) : 
 if s [ i ] = = "" 0 "" : 
 d . append ( "" 0 "" ) 
 elif s [ i ] = = "" 1 "" : 
 d . append ( "" 1 "" ) 
 else : 
 if len ( d ) ! = 0 : 
 d . pop ( ) 
 
 ans = '' . join ( d ) 
 print ( ans ) 
",s116422573,"7    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 
 ans = [ ] # 答え用意 
 
 for s in s : 
 if s ! = 'b' : 
 ans . append ( s ) # 末尾に要素追加 
 elif len ( ans ) ! = 0 : # 長さ 
 del ans [ - 1 ] # 指定した位置 ( 今回は末尾 : - 1 ) の要素を削除 
 
 print ( "" "" . join ( ans ) )",s121791865,"25    Accepted
Name: status, dtype: object"
"s = str ( input ( ) ) 
 
 t = 0 
 a = list ( ) 
 p = 0 
 for x in s : 
 if x = = "" 0 "" : 
 if p = = 0 : 
 a . append ( "" 0 "" ) 
 else : 
 a [ t ] = "" 0 "" 
 p - = 1 
 t + = 1 
 elif x = = "" 1 "" : 
 if p = = 0 : 
 a . append ( "" 1 "" ) 
 else : 
 a [ t ] = "" 1 "" 
 p - = 1 
 t + = 1 
 elif x = = "" b "" : 
 if t ! = 0 : 
 t - = 1 
 p + = 1 
 
 i = 0 
 ans = str ( ) 
 while i < t : 
 ans + = a [ i ] 
 i + = 1 
 print ( ans ) 
",s128741456,"49    Accepted
Name: status, dtype: object"
"arr = input ( ) 
 new = "" "" 
 for x in arr : 
 if x = = "" b "" : 
 if new : 
 new = new [ : - 1 ] 
 else : 
 new + = x 
 print ( new ) 
",s137175755,"27    Accepted
Name: status, dtype: object"
"s = input ( ) 
 t = [ ] 
 for s in s : 
 if s = = 'b' : 
 if len ( t ) ! = 0 : 
 del t [ - 1 ] 
 else : 
 t . append ( s ) 
 print ( '' . join ( t ) )",s140083713,"194    Accepted
Name: status, dtype: object"
"def typing ( s , ans ) : 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' : 
 ans . append ( ' 0 ' ) 
 elif s [ i ] = = ' 1 ' : 
 ans . append ( ' 1 ' ) 
 elif s [ i ] = = 'b' and len ( ans ) ! = 0 : 
 ans . pop ( ) 
 else : 
 continue 
 
 print ( '' . join ( ans ) ) 
 
 s = str ( input ( ) ) 
 ans = [ ] 
 typing ( s , ans )",s144041110,"99    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 s = [ ] 
 for a in s : 
 if a = = "" b "" : 
 try : 
 s . pop ( ) 
 except indexerror : 
 continue 
 else : 
 s . append ( a ) 
 print ( '' . join ( s ) )",s153913760,"181    Accepted
Name: status, dtype: object"
"x = input ( ) 
 li = [ ] 
 sz = 0 
 for i in x : 
 if ( i = = ' 0 ' ) or ( i = = ' 1 ' ) : 
 li . append ( i ) 
 sz + = 1 
 else : 
 if sz > 0 : 
 li . pop ( ) 
 sz - = 1 
 
 for i in li : 
 print ( i , end = "" "" ) 
",s164619123,"12    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 a = [ ] 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' or s [ i ] = = ' 1 ' : 
 a . append ( s [ i ] ) 
 elif len ( a ) > 0 : 
 del a [ len ( a ) - 1 ] 
 
 print ( '' . join ( a ) ) 
",s165194673,"98    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = [ ] 
 for ss in s : 
 if ss = = 'b' : 
 ans = ans [ : - 1 ] 
 else : 
 ans + = ss 
 print ( * ans , sep = '' )",s167121181,"111    Accepted
Name: status, dtype: object"
"s = input ( ) 
 c = str ( ) 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = "" b "" : 
 c = c [ : - 1 ] 
 else : 
 c + = s [ i ] 
 print ( c )",s169207478,"172    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 a = "" "" 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = "" b "" : 
 new _ a = a [ 0 : len ( a ) - 1 ] 
 a = new _ a 
 else : 
 new _ a = str ( a ) + s [ i ] 
 a = new _ a 
 print ( a )",s172913703,"145    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = [ ] 
 
 for c in s : 
 if c = = ' 0 ' or c = = ' 1 ' : 
 ans . append ( c ) 
 else : 
 if len ( ans ) ! = 0 : 
 ans . pop ( ) 
 
 print ( '' . join ( ans ) )",s178814567,"64    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 r = "" "" 
 for c in s : 
 if c = = "" b "" : 
 if r ! = "" "" : 
 r = r [ : len ( r ) - 1 ] 
 else : 
 r + = c 
 print ( r )",s179636021,"187    Accepted
Name: status, dtype: object"
"s = input ( ) 
 a = '' 
 for i in s : 
 if i = = 'b' : 
 a = a [ : - 1 ] 
 else : 
 a + = i 
 print ( a )",s186774087,"130    Accepted
Name: status, dtype: object"
"s = list ( raw _ input ( ) ) 
 t = [ ] 
 for e in s : 
 if e is "" b "" : 
 if t : 
 t . pop ( ) 
 else : 
 t . append ( e ) 
 print "" "" . join ( t ) if t else "" """,s187238688,"195    Accepted
Name: status, dtype: object"
"orders = input ( ) 
 display = '' 
 for order in orders : 
 if order = = 'b' : 
 if display = = '' : 
 pass 
 elif display ! = '' : 
 display = display [ : - 1 ] 
 elif order = = ' 1 ' : 
 display = display + ' 1 ' 
 elif order = = ' 0 ' : 
 display = display + ' 0 ' 
 
 print ( display )",s207164141,"127    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 
 out = [ ] 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' or s [ i ] = = ' 1 ' : 
 out . append ( s [ i ] ) 
 else : 
 if len ( out ) > 0 : 
 out . pop ( - 1 ) 
 print ( "" "" . join ( out ) ) 
",s218762264,"154    Accepted
Name: status, dtype: object"
"# - * - coding : utf - 8 - * - 
 import sys 
 sys . setrecursionlimit ( 1 0 * * 9 ) 
 inf = 1 0 * * 1 8 
 mod = 1 0 * * 9 + 7 
 input = lambda : sys . stdin . readline ( ) . rstrip ( ) 
 yesno = lambda b : bool ( [ print ( 'yes' ) ] if b else print ( 'no' ) ) 
 yesno = lambda b : bool ( [ print ( 'yes' ) ] if b else print ( 'no' ) ) 
 int 1 = lambda x : int ( x ) - 1 
 
 def main ( ) : 
 s = input ( ) 
 ans = [ ] 
 for s in s : 
 if s = = 'b' : 
 if ans : 
 ans . pop ( ) 
 else : 
 ans . append ( s ) 
 print ( '' . join ( ans ) ) 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 main ( ) 
",s222976443,"40    Accepted
Name: status, dtype: object"
"# coding : utf - 8 
 import re 
 import math 
 from collections import defaultdict 
 import itertools 
 from copy import deepcopy 
 import random 
 from heapq import heappop , heappush 
 import time 
 import os 
 import queue 
 import sys 
 import datetime 
 from functools import lru _ cache 
 # @ lru _ cache ( maxsize = none ) 
 readline = sys . stdin . readline 
 sys . setrecursionlimit ( 2 0 0 0 0 0 0 ) 
 # import numpy as np 
 alphabet = "" abcdefghijklmnopqrstuvwxyz "" 
 mod = int ( 1 0 * * 9 + 7 ) 
 inf = int ( 1 0 * * 2 0 ) 
 def yn ( b ) : 
 if b : 
 print ( "" yes "" ) 
 else : 
 print ( "" no "" ) 
 def yn ( b ) : 
 if b : 
 print ( "" yes "" ) 
 else : 
 print ( "" no "" ) 
 def yn ( b ) : 
 if b : 
 print ( "" yes "" ) 
 else : 
 print ( "" no "" ) 
 class union _ find ( ) : 
 def _ _ init _ _ ( self , n ) : 
 self . n = n 
 self . p = [ a for a in range ( n ) ] 
 self . rank = [ 0 ] * n 
 
 def find ( self , x ) : 
 if ( x ! = self . p [ x ] ) : self . p [ x ] = self . find ( self . p [ x ] ) 
 return self . p [ x ] 
 
 def same ( self , x , y ) : 
 return self . find ( x ) = = self . find ( y ) 
 
 def link ( self , x , y ) : 
 if self . rank [ x ] < self . rank [ y ] : 
 self . p [ x ] = y 
 elif self . rank [ y ] < self . rank [ x ] : 
 self . p [ y ] = x 
 else : 
 self . p [ x ] = y 
 self . rank [ y ] + = 1 
 
 def unite ( self , x , y ) : 
 self . link ( self . find ( x ) , self . find ( y ) ) 
 
 def size ( self ) : 
 s = set ( ) 
 for a in range ( self . n ) : 
 s . add ( self . find ( a ) ) 
 return len ( s ) 
 def is _ power ( a , b ) : # aはbの累乗数か 
 now = b 
 while now < a : 
 now * = b 
 if now = = a : return true 
 else : return false 
 def bin _ ( num , size ) : 
 a = [ 0 ] * size 
 for a in range ( size ) : 
 if ( num > > ( size - a - 1 ) ) & 1 = = 1 : 
 a [ a ] = 1 
 else : 
 a [ a ] = 0 
 return a 
 def get _ facs ( n , mod _ = 0 ) : 
 a = [ 1 ] * ( n + 1 ) 
 for a in range ( 2 , len ( a ) ) : 
 a [ a ] = a [ a - 1 ] * a 
 if ( mod > 0 ) : a [ a ] % = mod _ 
 return a 
 def comb ( n , r , mod , fac ) : 
 if ( n - r < 0 ) : return 0 
 return ( fac [ n ] * pow ( fac [ n - r ] , mod - 2 , mod ) * pow ( fac [ r ] , mod - 2 , mod ) ) % mod 
 def next _ comb ( num , size ) : 
 x = num & ( - num ) 
 y = num + x 
 z = num & ( ~ y ) 
 z / / = x 
 z = z > > 1 
 num = ( y | z ) 
 if ( num > = ( 1 < < size ) ) : return false 
 else : 
 return num 
 def get _ primes ( n , type = "" int "" ) : 
 a = [ true ] * ( n + 1 ) 
 a [ 0 ] = false 
 a [ 1 ] = false 
 for a in range ( 2 , n + 1 ) : 
 if a [ a ] : 
 for b in range ( a * 2 , n + 1 , a ) : 
 a [ b ] = false 
 if ( type = = "" bool "" ) : return a 
 b = [ ] 
 for a in range ( n + 1 ) : 
 if ( a [ a ] ) : b . append ( a ) 
 return b 
 def is _ prime ( num ) : 
 if ( num < = 2 ) : return false 
 i = 2 
 while i * i < = num : 
 if ( num % i = = 0 ) : return false 
 i + = 1 
 return true 
 def ifelse ( a , b , c ) : 
 if a : return b 
 else : return c 
 def join ( a , c = "" "" ) : 
 n = len ( a ) 
 a = list ( map ( str , a ) ) 
 s = "" "" 
 for a in range ( n ) : 
 s + = a [ a ] 
 if ( a < n - 1 ) : s + = c 
 return s 
 def factorize ( n , type _ = "" dict "" ) : 
 b = 2 
 list _ = [ ] 
 while b * b < = n : 
 while n % b = = 0 : 
 n / / = b 
 list _ . append ( b ) 
 b + = 1 
 if n > 1 : list _ . append ( n ) 
 if type _ = = "" dict "" : 
 dic = { } 
 for a in list _ : 
 if a in dic : 
 dic [ a ] + = 1 
 else : 
 dic [ a ] = 1 
 return dic 
 elif type _ = = "" list "" : 
 return list _ 
 else : 
 return none 
 def floor _ ( n , x = 1 ) : 
 return x * ( n / / x ) 
 def ceil _ ( n , x = 1 ) : 
 return x * ( ( n + x - 1 ) / / x ) 
 def hani ( x , min _ , max _ ) : 
 ret = x 
 if x < min _ : ret = min _ 
 if x > max _ : ret = max _ 
 return ret 
 def seifu ( x ) : 
 return x / / abs ( x ) 
 # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # 
 
 def main ( ) : 
 s = input ( ) 
 ans = "" "" 
 for a in range ( len ( s ) ) : 
 if s [ a ] = = "" b "" : 
 ans = ans [ : - 1 ] 
 else : 
 ans + = s [ a ] 
 print ( ans ) 
 main ( )",s226479199,"47    Accepted
Name: status, dtype: object"
"def cin ( ) : 
 	 return map ( int , input ( ) . split ( ) ) 
 
 def cino ( test = false ) : 
 if not test : 
 return int ( input ( ) ) 
 else : 
 return input ( ) 
 def cina ( ) : 
 return list ( map ( int , input ( ) . split ( ) ) ) 
 
 a = cino ( true ) 
 a = list ( a ) 
 s = [ ] 
 for i in a : 
 if i = = 'b' and len ( s ) > 0 : 
 s . pop ( ) 
 elif i = = ' 0 ' or i = = ' 1 ' : 
 s . append ( i ) 
 
 print ( '' . join ( s ) ) 
 
",s232205159,"43    Accepted
Name: status, dtype: object"
"string = str ( input ( ) ) 
 
 str _ len = len ( string ) 
 
 out _ string = "" "" 
 
 for num in range ( str _ len ) : 
 
 if string [ num ] = = "" b "" : 
 if len ( out _ string ) ! = 0 : 
 out _ string = out _ string [ : - 1 ] 
 
 else : 
 
 out _ string + = string [ num ] 
 
 
 print ( out _ string )",s248526396,"76    Accepted
Name: status, dtype: object"
"s = input ( ) 
 
 ans = '' 
 
 for i in range ( len ( s ) ) : 
 	 if s [ i ] = = ' 0 ' : 
 	 	 ans + = ' 0 ' 
 	 elif s [ i ] = = ' 1 ' : 
 	 	 ans + = ' 1 ' 
 	 elif s [ i ] = = 'b' : 
 	 	 if len ( s ) > = 1 : 
 	 	 	 ans = ans [ : - 1 ] 
 
 print ( ans )",s255089161,"100    Accepted
Name: status, dtype: object"
"s = str ( input ( ) ) 
 t = '' 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' or s [ i ] = = ' 1 ' : 
 t + = s [ i ] 
 else : 
 t = t [ : - 1 ] 
 print ( t )",s256493951,"14    Accepted
Name: status, dtype: object"
"from collections import counter , defaultdict , deque 
 import sys , bisect , math , itertools , string , queue 
 from heapq import heappop , heappush 
 sys . setrecursionlimit ( 1 0 * * 8 ) 
 mod = 1 0 * * 9 + 7 
 def inp ( ) : return int ( sys . stdin . readline ( ) ) 
 def inpl ( ) : return list ( map ( int , sys . stdin . readline ( ) . split ( ) ) ) 
 def inpl _ str ( ) : return list ( sys . stdin . readline ( ) . split ( ) ) 
 def inpln ( n ) : return list ( int ( sys . stdin . readline ( ) ) for i in range ( n ) ) 
 
 s = input ( ) 
 q = deque ( [ ] ) 
 l = '' 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' : 
 q . append ( ' 0 ' ) 
 elif s [ i ] = = ' 1 ' : 
 q . append ( ' 1 ' ) 
 else : 
 if q : 
 q . pop ( ) 
 while q : 
 l + = q . popleft ( ) 
 print ( l )",s266286836,"113    Accepted
Name: status, dtype: object"
"s = input ( ) 
 
 stack = [ ] 
 
 for s in s : 
 if not stack and s ! = "" b "" : 
 stack . append ( s ) 
 elif s = = "" b "" : 
 if stack : stack . pop ( ) 
 else : continue 
 else : 
 stack . append ( s ) 
 print ( "" "" . join ( stack ) )",s275588010,"3    Accepted
Name: status, dtype: object"
"import sys 
 import math 
 def i ( ) : return int ( sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) ) 
 def i 2 ( ) : return map ( int , sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) . split ( ) ) 
 def s ( ) : return str ( sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) ) 
 def l ( ) : return list ( sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) ) 
 def intl ( ) : return [ int ( k ) for k in sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) . split ( ) ] 
 def lx ( ) : return list ( map ( lambda x : int ( x ) * - 1 , sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) . split ( ) ) ) 
 def t ( ) : return tuple ( map ( int , sys . stdin . readline ( ) . replace ( "" \ n "" , "" "" ) . split ( ) ) ) 
 
 if _ _ name _ _ = = "" _ _ main _ _ "" : pass 
 
 s = l ( ) 
 moji = "" "" 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = "" 0 "" : 
 moji = moji + "" 0 "" 
 elif s [ i ] = = "" 1 "" : 
 moji = moji + "" 1 "" 
 else : 
 moji = moji [ : - 1 ] 
 print ( moji )",s275804298,"96    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 a = [ ] 
 # print ( s ) 
 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = "" 0 "" : 
 a . append ( "" 0 "" ) 
 elif s [ i ] = = "" 1 "" : 
 a . append ( "" 1 "" ) 
 else : 
 if len ( a ) > 0 : 
 a . pop ( ) 
 print ( "" "" . join ( a ) )",s285169688,"63    Accepted
Name: status, dtype: object"
"from collections import deque 
 s = input ( ) 
 ans = deque ( ) 
 for i in s : 
 if i = = ' 1 ' : 
 ans . append ( ' 1 ' ) 
 if i = = ' 0 ' : 
 ans . append ( ' 0 ' ) 
 if i = = 'b' : 
 ans . pop ( ) if len ( ans ) > 0 else ans 
 print ( '' . join ( ans ) )",s289004905,"75    Accepted
Name: status, dtype: object"
"s = input ( ) 
 
 out = '' 
 for i in s : 
 if i = = ' 0 ' : 
 out + = ' 0 ' 
 elif i = = ' 1 ' : 
 out + = ' 1 ' 
 else : 
 if out ! = '' : 
 out = out [ : - 1 ] 
 
 print ( out )",s295725845,"54    Accepted
Name: status, dtype: object"
"# input 
 s = input ( ) 
 
 ans = '' 
 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' : 
 ans + = ' 0 ' 
 if s [ i ] = = ' 1 ' : 
 ans + = ' 1 ' 
 if s [ i ] = = 'b' and ans ! = '' : 
 ans = ans [ : len ( ans ) - 1 ] 
 
 print ( ans )",s314163208,"173    Accepted
Name: status, dtype: object"
"s = str ( input ( ) ) 
 
 while 'b' in s : 
 if s [ 0 ] = = 'b' : 
 s = s [ 1 : ] 
 s = s . replace ( ' 0 b' , '' ) 
 s = s . replace ( ' 1 b' , '' ) 
 
 print ( s )",s319126731,"178    Accepted
Name: status, dtype: object"
"data = input ( ) 
 x = "" "" 
 
 for i in range ( len ( data ) ) : 
 if data [ i ] = = "" b "" : 
 if x ! = "" "" : 
 x = x [ 0 : - 1 ] 
 else : 
 x + = data [ i ] 
 
 print ( x )",s320301138,"126    Accepted
Name: status, dtype: object"
"s = input ( ) 
 buffer = '' 
 for i in s : 
 if ( i = = ' 0 ' ) : 
 buffer + = ' 0 ' 
 elif ( i = = ' 1 ' ) : 
 buffer + = ' 1 ' 
 else : 
 buffer = buffer [ : - 1 ] 
 print ( buffer ) 
",s323400410,"158    Accepted
Name: status, dtype: object"
"import sys 
 
 sys . setrecursionlimit ( 1 0 * * 7 ) 
 f _ inf = float ( 'inf' ) 
 mod = 1 0 * * 9 + 7 
 
 
 def resolve ( ) : 
 s = input ( ) 
 
 res = [ ] 
 for i in s : 
 if i = = "" 0 "" : 
 res . append ( "" 0 "" ) 
 elif i = = "" 1 "" : 
 res . append ( "" 1 "" ) 
 else : 
 if len ( res ) > 0 : 
 res . pop ( ) 
 
 print ( "" "" . join ( res ) ) 
 
 
 if _ _ name _ _ = = ' _ _ main _ _ ' : 
 resolve ( ) 
",s329642020,"46    Accepted
Name: status, dtype: object"
"s = input ( ) 
 d = "" "" 
 for i in range ( len ( s ) ) : 
 	 if s [ i ] = = "" 0 "" : 
 	 	 d + = "" 0 "" 
 	 elif s [ i ] = = "" 1 "" : 
 	 	 d + = "" 1 "" 
 	 else : 
 	 	 d = d [ : - 1 ] 
 print ( d ) 
",s340338357,"142    Accepted
Name: status, dtype: object"
"s = input ( ) 
 
 word = "" a "" 
 word = word [ : - 1 ] 
 num = len ( s ) 
 for i in range ( num ) : 
 if s [ i ] = = "" 0 "" : 
 word + = str ( 0 ) 
 elif s [ i ] = = "" 1 "" : 
 word + = str ( 1 ) 
 else : 
 if len ( word ) ! = 0 : 
 word = word [ : - 1 ] 
 else : 
 word = word 
 
 
 print ( word )",s342113418,"182    Accepted
Name: status, dtype: object"
"import sys 
 import math 
 import itertools 
 import collections 
 import heapq 
 import re 
 import numpy as np 
 from functools import reduce 
 
 rr = lambda : sys . stdin . readline ( ) . rstrip ( ) 
 rs = lambda : sys . stdin . readline ( ) . split ( ) 
 ri = lambda : int ( sys . stdin . readline ( ) ) 
 rm = lambda : map ( int , sys . stdin . readline ( ) . split ( ) ) 
 rl = lambda : list ( map ( int , sys . stdin . readline ( ) . split ( ) ) ) 
 inf = float ( 'inf' ) 
 mod = 1 0 * * 9 + 7 
 
 s = rr ( ) 
 ans = '' 
 for i in s : 
 if i = = ' 0 ' : 
 ans + = ' 0 ' 
 elif i = = ' 1 ' : 
 ans + = ' 1 ' 
 elif ans : 
 ans = ans [ : - 1 ] 
 print ( ans ) 
 
 
 
 
 
 
 
 
 
 
 
 
",s351462698,"4    Accepted
Name: status, dtype: object"
"s = "" "" 
 for si in input ( ) : 
 if si = = "" b "" : 
 if s ! = "" "" : 
 s = s [ : - 1 ] 
 else : 
 s + = si 
 print ( s )",s353580956,"106    Accepted
Name: status, dtype: object"
"s = input ( ) 
 
 ans = '' 
 for s in s : 
 if s = = ' 0 ' : 
 ans = ans + ' 0 ' 
 elif s = = ' 1 ' : 
 ans = ans + ' 1 ' 
 else : 
 ans = ans [ : - 1 ] 
 print ( ans )",s358232987,"133    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = [ ] 
 for i in range ( len ( s ) ) : 
 if s [ i ] ! = 'b' : 
 ans . append ( s [ i ] ) 
 else : 
 if len ( ans ) = = 0 : 
 pass 
 else : 
 ans . pop ( ) 
 print ( '' . join ( ans ) )",s378689383,"74    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 
 ans = [ ] 
 
 for i in s : 
 if i = = "" b "" and len ( ans ) ! = 0 : 
 ans . pop ( ) 
 elif i = = "" b "" : 
 continue 
 else : 
 ans . append ( i ) 
 
 print ( "" "" . join ( ans ) )",s383780533,"67    Accepted
Name: status, dtype: object"
"from sys import stdin 
 from collections import deque 
 input = stdin . readline 
 
 s = input ( ) . rstrip ( ) 
 d = deque ( [ ] ) 
 
 for i in s : 
 if i ! = "" b "" : 
 d . append ( i ) 
 else : 
 if d : 
 d . pop ( ) 
 else : 
 pass 
 
 while d : 
 print ( d . popleft ( ) , end = "" "" ) 
 
 print ( ) 
",s386003629,"66    Accepted
Name: status, dtype: object"
"s = input ( ) 
 r = "" "" 
 for i in s : 
 if i ! = "" b "" : 
 r + = i 
 if i = = "" b "" : 
 r = r [ : - 1 ] 
 print ( r )",s392619682,"176    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 a = [ ] 
 
 for i in s : 
 if i = = "" 0 "" or i = = "" 1 "" : 
 a . append ( i ) 
 elif i = = "" b "" and a ! = [ ] : 
 a . pop ( - 1 ) 
 elif i = = "" b "" and a = = [ ] : 
 continue 
 
 print ( '' . join ( a ) )",s395940158,"186    Accepted
Name: status, dtype: object"
