X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
0,0,0,0,0,0,0,0,27,5,19
0,0,0,0,0,0,0,27,5,19,3
0,0,0,0,0,0,27,5,19,3,4
0,0,0,0,0,27,5,19,3,4,2
0,0,0,0,27,5,19,3,4,2,11
0,0,0,27,5,19,3,4,2,11,5
0,0,27,5,19,3,4,2,11,5,13
0,27,5,19,3,4,2,11,5,13,14
27,5,19,3,4,2,11,5,13,14,2
5,19,3,4,2,11,5,13,14,2,22
19,3,4,2,11,5,13,14,2,22,5
3,4,2,11,5,13,14,2,22,5,13
4,2,11,5,13,14,2,22,5,13,27
2,11,5,13,14,2,22,5,13,27,13
11,5,13,14,2,22,5,13,27,13,17
5,13,14,2,22,5,13,27,13,17,14
13,14,2,22,5,13,27,13,17,14,29
14,2,22,5,13,27,13,17,14,29,17
2,22,5,13,27,13,17,14,29,17,28
22,5,13,27,13,17,14,29,17,28,40
5,13,27,13,17,14,29,17,28,40,3
13,27,13,17,14,29,17,28,40,3,50
27,13,17,14,29,17,28,40,3,50,3
13,17,14,29,17,28,40,3,50,3,27
17,14,29,17,28,40,3,50,3,27,4
14,29,17,28,40,3,50,3,27,4,4
29,17,28,40,3,50,3,27,4,4,14
17,28,40,3,50,3,27,4,4,14,2
28,40,3,50,3,27,4,4,14,2,2
40,3,50,3,27,4,4,14,2,2,29
3,50,3,27,4,4,14,2,2,29,17
50,3,27,4,4,14,2,2,29,17,28
3,27,4,4,14,2,2,29,17,28,40
27,4,4,14,2,2,29,17,28,40,3
4,4,14,2,2,29,17,28,40,3,50
4,14,2,2,29,17,28,40,3,50,3
14,2,2,29,17,28,40,3,50,3,27
2,2,29,17,28,40,3,50,3,27,4
2,29,17,28,40,3,50,3,27,4,4
29,17,28,40,3,50,3,27,4,4,6
17,28,40,3,50,3,27,4,4,6,2
28,40,3,50,3,27,4,4,6,2,1
40,3,50,3,27,4,4,6,2,1,26
3,50,3,27,4,4,6,2,1,26,50
50,3,27,4,4,6,2,1,26,50,3
3,27,4,4,6,2,1,26,50,3,11
27,4,4,6,2,1,26,50,3,11,4
4,4,6,2,1,26,50,3,11,4,60
4,6,2,1,26,50,3,11,4,60,16
6,2,1,26,50,3,11,4,60,16,56
2,1,26,50,3,11,4,60,16,56,27
1,26,50,3,11,4,60,16,56,27,13
26,50,3,11,4,60,16,56,27,13,17
50,3,11,4,60,16,56,27,13,17,14
3,11,4,60,16,56,27,13,17,14,1
11,4,60,16,56,27,13,17,14,1,1
4,60,16,56,27,13,17,14,1,1,6
60,16,56,27,13,17,14,1,1,6,2
16,56,27,13,17,14,1,1,6,2,1
56,27,13,17,14,1,1,6,2,1,11
27,13,17,14,1,1,6,2,1,11,13
13,17,14,1,1,6,2,1,11,13,50
17,14,1,1,6,2,1,11,13,50,3
14,1,1,6,2,1,11,13,50,3,11
1,1,6,2,1,11,13,50,3,11,4
1,6,2,1,11,13,50,3,11,4,30
6,2,1,11,13,50,3,11,4,30,9
2,1,11,13,50,3,11,4,30,9,14
1,11,13,50,3,11,4,30,9,14,5
11,13,50,3,11,4,30,9,14,5,1
13,50,3,11,4,30,9,14,5,1,2
50,3,11,4,30,9,14,5,1,2,1
3,11,4,30,9,14,5,1,2,1,58
11,4,30,9,14,5,1,2,1,58,27
4,30,9,14,5,1,2,1,58,27,13
30,9,14,5,1,2,1,58,27,13,17
9,14,5,1,2,1,58,27,13,17,14
14,5,1,2,1,58,27,13,17,14,1
5,1,2,1,58,27,13,17,14,1,1
1,2,1,58,27,13,17,14,1,1,6
2,1,58,27,13,17,14,1,1,6,2
1,58,27,13,17,14,1,1,6,2,1
58,27,13,17,14,1,1,6,2,1,11
27,13,17,14,1,1,6,2,1,11,8
13,17,14,1,1,6,2,1,11,8,55
17,14,1,1,6,2,1,11,8,55,3
14,1,1,6,2,1,11,8,55,3,1
1,1,6,2,1,11,8,55,3,1,4
1,6,2,1,11,8,55,3,1,4,2
6,2,1,11,8,55,3,1,4,2,1
2,1,11,8,55,3,1,4,2,1,58
1,11,8,55,3,1,4,2,1,58,27
11,8,55,3,1,4,2,1,58,27,13
8,55,3,1,4,2,1,58,27,13,17
55,3,1,4,2,1,58,27,13,17,14
3,1,4,2,1,58,27,13,17,14,1
1,4,2,1,58,27,13,17,14,1,1
4,2,1,58,27,13,17,14,1,1,6
2,1,58,27,13,17,14,1,1,6,2
1,58,27,13,17,14,1,1,6,2,1
58,27,13,17,14,1,1,6,2,1,11
27,13,17,14,1,1,6,2,1,11,8
13,17,14,1,1,6,2,1,11,8,55
17,14,1,1,6,2,1,11,8,55,3
14,1,1,6,2,1,11,8,55,3,1
1,1,6,2,1,11,8,55,3,1,4
1,6,2,1,11,8,55,3,1,4,2
6,2,1,11,8,55,3,1,4,2,1
2,1,11,8,55,3,1,4,2,1,1
1,11,8,55,3,1,4,2,1,1,150
11,8,55,3,1,4,2,1,1,150,5
8,55,3,1,4,2,1,1,150,5,1
55,3,1,4,2,1,1,150,5,1,2
3,1,4,2,1,1,150,5,1,2,29
1,4,2,1,1,150,5,1,2,29,17
4,2,1,1,150,5,1,2,29,17,28
2,1,1,150,5,1,2,29,17,28,40
1,1,150,5,1,2,29,17,28,40,3
1,150,5,1,2,29,17,28,40,3,50
150,5,1,2,29,17,28,40,3,50,3
5,1,2,29,17,28,40,3,50,3,11
1,2,29,17,28,40,3,50,3,11,4
2,29,17,28,40,3,50,3,11,4,4
29,17,28,40,3,50,3,11,4,4,6
17,28,40,3,50,3,11,4,4,6,2
28,40,3,50,3,11,4,4,6,2,1
40,3,50,3,11,4,4,6,2,1,150
3,50,3,11,4,4,6,2,1,150,1
50,3,11,4,4,6,2,1,150,1,11
3,11,4,4,6,2,1,150,1,11,13
11,4,4,6,2,1,150,1,11,13,17
4,4,6,2,1,150,1,11,13,17,14
4,6,2,1,150,1,11,13,17,14,2
6,2,1,150,1,11,13,17,14,2,2
2,1,150,1,11,13,17,14,2,2,1
1,150,1,11,13,17,14,2,2,1,18
150,1,11,13,17,14,2,2,1,18,3
1,11,13,17,14,2,2,1,18,3,150
11,13,17,14,2,2,1,18,3,150,4
13,17,14,2,2,1,18,3,150,4,1
17,14,2,2,1,18,3,150,4,1,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,19
0,0,0,0,0,0,0,27,5,19,3
0,0,0,0,0,0,27,5,19,3,4
0,0,0,0,0,27,5,19,3,4,2
0,0,0,0,27,5,19,3,4,2,34
0,0,0,27,5,19,3,4,2,34,5
0,0,27,5,19,3,4,2,34,5,78
0,27,5,19,3,4,2,34,5,78,2
27,5,19,3,4,2,34,5,78,2,29
5,19,3,4,2,34,5,78,2,29,17
19,3,4,2,34,5,78,2,29,17,28
3,4,2,34,5,78,2,29,17,28,27
4,2,34,5,78,2,29,17,28,27,6
2,34,5,78,2,29,17,28,27,6,2
34,5,78,2,29,17,28,27,6,2,1
5,78,2,29,17,28,27,6,2,1,26
78,2,29,17,28,27,6,2,1,26,17
2,29,17,28,27,6,2,1,26,17,1
29,17,28,27,6,2,1,26,17,1,1
17,28,27,6,2,1,26,17,1,1,6
28,27,6,2,1,26,17,1,1,6,2
27,6,2,1,26,17,1,1,6,2,1
6,2,1,26,17,1,1,6,2,1,34
2,1,26,17,1,1,6,2,1,34,1
1,26,17,1,1,6,2,1,34,1,1
26,17,1,1,6,2,1,34,1,1,2
17,1,1,6,2,1,34,1,1,2,1
1,1,6,2,1,34,1,1,2,1,58
1,6,2,1,34,1,1,2,1,58,17
6,2,1,34,1,1,2,1,58,17,1
2,1,34,1,1,2,1,58,17,1,1
1,34,1,1,2,1,58,17,1,1,6
34,1,1,2,1,58,17,1,1,6,2
1,1,2,1,58,17,1,1,6,2,1
1,2,1,58,17,1,1,6,2,1,34
2,1,58,17,1,1,6,2,1,34,1
1,58,17,1,1,6,2,1,34,1,1
58,17,1,1,6,2,1,34,1,1,2
17,1,1,6,2,1,34,1,1,2,1
1,1,6,2,1,34,1,1,2,1,39
1,6,2,1,34,1,1,2,1,39,6
6,2,1,34,1,1,2,1,39,6,2
2,1,34,1,1,2,1,39,6,2,1
1,34,1,1,2,1,39,6,2,1,34
34,1,1,2,1,39,6,2,1,34,5
1,1,2,1,39,6,2,1,34,5,34
1,2,1,39,6,2,1,34,5,34,13
2,1,39,6,2,1,34,5,34,13,6
1,39,6,2,1,34,5,34,13,6,30
39,6,2,1,34,5,34,13,6,30,9
6,2,1,34,5,34,13,6,30,9,14
2,1,34,5,34,13,6,30,9,14,2
1,34,5,34,13,6,30,9,14,2,1
34,5,34,13,6,30,9,14,2,1,1
5,34,13,6,30,9,14,2,1,1,18
34,13,6,30,9,14,2,1,1,18,3
13,6,30,9,14,2,1,1,18,3,34
6,30,9,14,2,1,1,18,3,34,4
30,9,14,2,1,1,18,3,34,4,1
9,14,2,1,1,18,3,34,4,1,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,45
0,0,0,0,0,0,0,27,5,45,3
0,0,0,0,0,0,27,5,45,3,19
0,0,0,0,0,27,5,45,3,19,3
0,0,0,0,27,5,45,3,19,3,4
0,0,0,27,5,45,3,19,3,4,4
0,0,27,5,45,3,19,3,4,4,2
0,27,5,45,3,19,3,4,4,2,34
27,5,45,3,19,3,4,4,2,34,5
5,45,3,19,3,4,4,2,34,5,13
45,3,19,3,4,4,2,34,5,13,14
3,19,3,4,4,2,34,5,13,14,2
19,3,4,4,2,34,5,13,14,2,29
3,4,4,2,34,5,13,14,2,29,17
4,4,2,34,5,13,14,2,29,17,28
4,2,34,5,13,14,2,29,17,28,27
2,34,5,13,14,2,29,17,28,27,6
34,5,13,14,2,29,17,28,27,6,2
5,13,14,2,29,17,28,27,6,2,1
13,14,2,29,17,28,27,6,2,1,26
14,2,29,17,28,27,6,2,1,26,17
2,29,17,28,27,6,2,1,26,17,1
29,17,28,27,6,2,1,26,17,1,1
17,28,27,6,2,1,26,17,1,1,6
28,27,6,2,1,26,17,1,1,6,2
27,6,2,1,26,17,1,1,6,2,1
6,2,1,26,17,1,1,6,2,1,26
2,1,26,17,1,1,6,2,1,26,50
1,26,17,1,1,6,2,1,26,50,3
26,17,1,1,6,2,1,26,50,3,34
17,1,1,6,2,1,26,50,3,34,4
1,1,6,2,1,26,50,3,34,4,60
1,6,2,1,26,50,3,34,4,60,16
6,2,1,26,50,3,34,4,60,16,6
2,1,26,50,3,34,4,60,16,6,2
1,26,50,3,34,4,60,16,6,2,1
26,50,3,34,4,60,16,6,2,1,34
50,3,34,4,60,16,6,2,1,34,8
3,34,4,60,16,6,2,1,34,8,102
34,4,60,16,6,2,1,34,8,102,3
4,60,16,6,2,1,34,8,102,3,4
60,16,6,2,1,34,8,102,3,4,2
16,6,2,1,34,8,102,3,4,2,1
6,2,1,34,8,102,3,4,2,1,1
2,1,34,8,102,3,4,2,1,1,39
1,34,8,102,3,4,2,1,1,39,6
34,8,102,3,4,2,1,1,39,6,2
8,102,3,4,2,1,1,39,6,2,1
102,3,4,2,1,1,39,6,2,1,34
3,4,2,1,1,39,6,2,1,34,8
4,2,1,1,39,6,2,1,34,8,55
2,1,1,39,6,2,1,34,8,55,3
1,1,39,6,2,1,34,8,55,3,17
1,39,6,2,1,34,8,55,3,17,4
39,6,2,1,34,8,55,3,17,4,2
6,2,1,34,8,55,3,17,4,2,1
2,1,34,8,55,3,17,4,2,1,1
1,34,8,55,3,17,4,2,1,1,18
34,8,55,3,17,4,2,1,1,18,3
8,55,3,17,4,2,1,1,18,3,1
55,3,17,4,2,1,1,18,3,1,8
3,17,4,2,1,1,18,3,1,8,77
17,4,2,1,1,18,3,1,8,77,3
4,2,1,1,18,3,1,8,77,3,34
2,1,1,18,3,1,8,77,3,34,4
1,1,18,3,1,8,77,3,34,4,4
1,18,3,1,8,77,3,34,4,4,2
18,3,1,8,77,3,34,4,4,2,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,45
0,0,0,0,0,0,0,27,5,45,3
0,0,0,0,0,0,27,5,45,3,19
0,0,0,0,0,27,5,45,3,19,3
0,0,0,0,27,5,45,3,19,3,4
0,0,0,27,5,45,3,19,3,4,4
0,0,27,5,45,3,19,3,4,4,2
0,27,5,45,3,19,3,4,4,2,11
27,5,45,3,19,3,4,4,2,11,5
5,45,3,19,3,4,4,2,11,5,1
45,3,19,3,4,4,2,11,5,1,2
3,19,3,4,4,2,11,5,1,2,29
19,3,4,4,2,11,5,1,2,29,17
3,4,4,2,11,5,1,2,29,17,28
4,4,2,11,5,1,2,29,17,28,40
4,2,11,5,1,2,29,17,28,40,3
2,11,5,1,2,29,17,28,40,3,50
11,5,1,2,29,17,28,40,3,50,3
5,1,2,29,17,28,40,3,50,3,27
1,2,29,17,28,40,3,50,3,27,4
2,29,17,28,40,3,50,3,27,4,4
29,17,28,40,3,50,3,27,4,4,6
17,28,40,3,50,3,27,4,4,6,2
28,40,3,50,3,27,4,4,6,2,1
40,3,50,3,27,4,4,6,2,1,26
3,50,3,27,4,4,6,2,1,26,27
50,3,27,4,4,6,2,1,26,27,13
3,27,4,4,6,2,1,26,27,13,17
27,4,4,6,2,1,26,27,13,17,14
4,4,6,2,1,26,27,13,17,14,1
4,6,2,1,26,27,13,17,14,1,1
6,2,1,26,27,13,17,14,1,1,6
2,1,26,27,13,17,14,1,1,6,2
1,26,27,13,17,14,1,1,6,2,1
26,27,13,17,14,1,1,6,2,1,1
27,13,17,14,1,1,6,2,1,1,5
13,17,14,1,1,6,2,1,1,5,11
17,14,1,1,6,2,1,1,5,11,13
14,1,1,6,2,1,1,5,11,13,16
1,1,6,2,1,1,5,11,13,16,6
1,6,2,1,1,5,11,13,16,6,50
6,2,1,1,5,11,13,16,6,50,3
2,1,1,5,11,13,16,6,50,3,11
1,1,5,11,13,16,6,50,3,11,4
1,5,11,13,16,6,50,3,11,4,30
5,11,13,16,6,50,3,11,4,30,9
11,13,16,6,50,3,11,4,30,9,14
13,16,6,50,3,11,4,30,9,14,2
16,6,50,3,11,4,30,9,14,2,11
6,50,3,11,4,30,9,14,2,11,5
50,3,11,4,30,9,14,2,11,5,1
3,11,4,30,9,14,2,11,5,1,2
11,4,30,9,14,2,11,5,1,2,1
4,30,9,14,2,11,5,1,2,1,39
30,9,14,2,11,5,1,2,1,39,6
9,14,2,11,5,1,2,1,39,6,2
14,2,11,5,1,2,1,39,6,2,1
2,11,5,1,2,1,39,6,2,1,1
11,5,1,2,1,39,6,2,1,1,5
5,1,2,1,39,6,2,1,1,5,52
1,2,1,39,6,2,1,1,5,52,3
2,1,39,6,2,1,1,5,52,3,11
1,39,6,2,1,1,5,52,3,11,4
39,6,2,1,1,5,52,3,11,4,35
6,2,1,1,5,52,3,11,4,35,27
2,1,1,5,52,3,11,4,35,27,13
1,1,5,52,3,11,4,35,27,13,17
1,5,52,3,11,4,35,27,13,17,14
5,52,3,11,4,35,27,13,17,14,2
52,3,11,4,35,27,13,17,14,2,11
3,11,4,35,27,13,17,14,2,11,5
11,4,35,27,13,17,14,2,11,5,1
4,35,27,13,17,14,2,11,5,1,2
35,27,13,17,14,2,11,5,1,2,1
27,13,17,14,2,11,5,1,2,1,1
13,17,14,2,11,5,1,2,1,1,18
17,14,2,11,5,1,2,1,1,18,3
14,2,11,5,1,2,1,1,18,3,11
2,11,5,1,2,1,1,18,3,11,4
11,5,1,2,1,1,18,3,11,4,1
5,1,2,1,1,18,3,11,4,1,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,45
0,0,0,0,0,0,0,27,5,45,3
0,0,0,0,0,0,27,5,45,3,52
0,0,0,0,0,27,5,45,3,52,3
0,0,0,0,27,5,45,3,52,3,19
0,0,0,27,5,45,3,52,3,19,3
0,0,27,5,45,3,52,3,19,3,4
0,27,5,45,3,52,3,19,3,4,4
27,5,45,3,52,3,19,3,4,4,4
5,45,3,52,3,19,3,4,4,4,2
45,3,52,3,19,3,4,4,4,2,323
3,52,3,19,3,4,4,4,2,323,5
52,3,19,3,4,4,4,2,323,5,13
3,19,3,4,4,4,2,323,5,13,14
19,3,4,4,4,2,323,5,13,14,2
3,4,4,4,2,323,5,13,14,2,34
4,4,4,2,323,5,13,14,2,34,5
4,4,2,323,5,13,14,2,34,5,78
4,2,323,5,13,14,2,34,5,78,2
2,323,5,13,14,2,34,5,78,2,2
323,5,13,14,2,34,5,78,2,2,29
5,13,14,2,34,5,78,2,2,29,17
13,14,2,34,5,78,2,2,29,17,28
14,2,34,5,78,2,2,29,17,28,40
2,34,5,78,2,2,29,17,28,40,3
34,5,78,2,2,29,17,28,40,3,50
5,78,2,2,29,17,28,40,3,50,3
78,2,2,29,17,28,40,3,50,3,27
2,2,29,17,28,40,3,50,3,27,4
2,29,17,28,40,3,50,3,27,4,4
29,17,28,40,3,50,3,27,4,4,6
17,28,40,3,50,3,27,4,4,6,2
28,40,3,50,3,27,4,4,6,2,1
40,3,50,3,27,4,4,6,2,1,26
3,50,3,27,4,4,6,2,1,26,27
50,3,27,4,4,6,2,1,26,27,13
3,27,4,4,6,2,1,26,27,13,17
27,4,4,6,2,1,26,27,13,17,14
4,4,6,2,1,26,27,13,17,14,1
4,6,2,1,26,27,13,17,14,1,1
6,2,1,26,27,13,17,14,1,1,6
2,1,26,27,13,17,14,1,1,6,2
1,26,27,13,17,14,1,1,6,2,1
26,27,13,17,14,1,1,6,2,1,323
27,13,17,14,1,1,6,2,1,323,8
13,17,14,1,1,6,2,1,323,8,55
17,14,1,1,6,2,1,323,8,55,3
14,1,1,6,2,1,323,8,55,3,16
1,1,6,2,1,323,8,55,3,16,4
1,6,2,1,323,8,55,3,16,4,2
6,2,1,323,8,55,3,16,4,2,1
2,1,323,8,55,3,16,4,2,1,58
1,323,8,55,3,16,4,2,1,58,27
323,8,55,3,16,4,2,1,58,27,13
8,55,3,16,4,2,1,58,27,13,17
55,3,16,4,2,1,58,27,13,17,14
3,16,4,2,1,58,27,13,17,14,1
16,4,2,1,58,27,13,17,14,1,1
4,2,1,58,27,13,17,14,1,1,6
2,1,58,27,13,17,14,1,1,6,2
1,58,27,13,17,14,1,1,6,2,1
58,27,13,17,14,1,1,6,2,1,323
27,13,17,14,1,1,6,2,1,323,8
13,17,14,1,1,6,2,1,323,8,55
17,14,1,1,6,2,1,323,8,55,3
14,1,1,6,2,1,323,8,55,3,9
1,1,6,2,1,323,8,55,3,9,4
1,6,2,1,323,8,55,3,9,4,2
6,2,1,323,8,55,3,9,4,2,1
2,1,323,8,55,3,9,4,2,1,39
1,323,8,55,3,9,4,2,1,39,6
323,8,55,3,9,4,2,1,39,6,2
8,55,3,9,4,2,1,39,6,2,1
55,3,9,4,2,1,39,6,2,1,26
3,9,4,2,1,39,6,2,1,26,323
9,4,2,1,39,6,2,1,26,323,1
4,2,1,39,6,2,1,26,323,1,13
2,1,39,6,2,1,26,323,1,13,14
1,39,6,2,1,26,323,1,13,14,6
39,6,2,1,26,323,1,13,14,6,2
6,2,1,26,323,1,13,14,6,2,1
2,1,26,323,1,13,14,6,2,1,151
1,26,323,1,13,14,6,2,1,151,2
26,323,1,13,14,6,2,1,151,2,1
323,1,13,14,6,2,1,151,2,1,39
1,13,14,6,2,1,151,2,1,39,6
13,14,6,2,1,151,2,1,39,6,2
14,6,2,1,151,2,1,39,6,2,1
6,2,1,151,2,1,39,6,2,1,323
2,1,151,2,1,39,6,2,1,323,8
1,151,2,1,39,6,2,1,323,8,102
151,2,1,39,6,2,1,323,8,102,3
2,1,39,6,2,1,323,8,102,3,30
1,39,6,2,1,323,8,102,3,30,9
39,6,2,1,323,8,102,3,30,9,4
6,2,1,323,8,102,3,30,9,4,2
2,1,323,8,102,3,30,9,4,2,2
1,323,8,102,3,30,9,4,2,2,1
323,8,102,3,30,9,4,2,2,1,1
8,102,3,30,9,4,2,2,1,1,1
102,3,30,9,4,2,2,1,1,1,29
3,30,9,4,2,2,1,1,1,29,17
30,9,4,2,2,1,1,1,29,17,28
9,4,2,2,1,1,1,29,17,28,40
4,2,2,1,1,1,29,17,28,40,3
2,2,1,1,1,29,17,28,40,3,50
2,1,1,1,29,17,28,40,3,50,3
1,1,1,29,17,28,40,3,50,3,323
1,1,29,17,28,40,3,50,3,323,4
1,29,17,28,40,3,50,3,323,4,4
29,17,28,40,3,50,3,323,4,4,6
17,28,40,3,50,3,323,4,4,6,2
28,40,3,50,3,323,4,4,6,2,1
40,3,50,3,323,4,4,6,2,1,34
3,50,3,323,4,4,6,2,1,34,1
50,3,323,4,4,6,2,1,34,1,52
3,323,4,4,6,2,1,34,1,52,3
323,4,4,6,2,1,34,1,52,3,323
4,4,6,2,1,34,1,52,3,323,13
4,6,2,1,34,1,52,3,323,13,17
6,2,1,34,1,52,3,323,13,17,14
2,1,34,1,52,3,323,13,17,14,4
1,34,1,52,3,323,13,17,14,4,2
34,1,52,3,323,13,17,14,4,2,2
1,52,3,323,13,17,14,4,2,2,1
52,3,323,13,17,14,4,2,2,1,18
3,323,13,17,14,4,2,2,1,18,3
323,13,17,14,4,2,2,1,18,3,34
13,17,14,4,2,2,1,18,3,34,4
17,14,4,2,2,1,18,3,34,4,1
14,4,2,2,1,18,3,34,4,1,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,19
0,0,0,0,0,0,0,27,5,19,3
0,0,0,0,0,0,27,5,19,3,4
0,0,0,0,0,27,5,19,3,4,2
0,0,0,0,27,5,19,3,4,2,32
0,0,0,27,5,19,3,4,2,32,5
0,0,27,5,19,3,4,2,32,5,13
0,27,5,19,3,4,2,32,5,13,14
27,5,19,3,4,2,32,5,13,14,2
5,19,3,4,2,32,5,13,14,2,2
19,3,4,2,32,5,13,14,2,2,29
3,4,2,32,5,13,14,2,2,29,17
4,2,32,5,13,14,2,2,29,17,28
2,32,5,13,14,2,2,29,17,28,27
32,5,13,14,2,2,29,17,28,27,6
5,13,14,2,2,29,17,28,27,6,2
13,14,2,2,29,17,28,27,6,2,1
14,2,2,29,17,28,27,6,2,1,26
2,2,29,17,28,27,6,2,1,26,17
2,29,17,28,27,6,2,1,26,17,1
29,17,28,27,6,2,1,26,17,1,1
17,28,27,6,2,1,26,17,1,1,6
28,27,6,2,1,26,17,1,1,6,2
27,6,2,1,26,17,1,1,6,2,1
6,2,1,26,17,1,1,6,2,1,32
2,1,26,17,1,1,6,2,1,32,8
1,26,17,1,1,6,2,1,32,8,55
26,17,1,1,6,2,1,32,8,55,3
17,1,1,6,2,1,32,8,55,3,1
1,1,6,2,1,32,8,55,3,1,4
1,6,2,1,32,8,55,3,1,4,2
6,2,1,32,8,55,3,1,4,2,1
2,1,32,8,55,3,1,4,2,1,58
1,32,8,55,3,1,4,2,1,58,17
32,8,55,3,1,4,2,1,58,17,1
8,55,3,1,4,2,1,58,17,1,1
55,3,1,4,2,1,58,17,1,1,6
3,1,4,2,1,58,17,1,1,6,2
1,4,2,1,58,17,1,1,6,2,1
4,2,1,58,17,1,1,6,2,1,32
2,1,58,17,1,1,6,2,1,32,8
1,58,17,1,1,6,2,1,32,8,55
58,17,1,1,6,2,1,32,8,55,3
17,1,1,6,2,1,32,8,55,3,1
1,1,6,2,1,32,8,55,3,1,4
1,6,2,1,32,8,55,3,1,4,2
6,2,1,32,8,55,3,1,4,2,1
2,1,32,8,55,3,1,4,2,1,39
1,32,8,55,3,1,4,2,1,39,6
32,8,55,3,1,4,2,1,39,6,2
8,55,3,1,4,2,1,39,6,2,1
55,3,1,4,2,1,39,6,2,1,26
3,1,4,2,1,39,6,2,1,26,32
1,4,2,1,39,6,2,1,26,32,1
4,2,1,39,6,2,1,26,32,1,13
2,1,39,6,2,1,26,32,1,13,14
1,39,6,2,1,26,32,1,13,14,6
39,6,2,1,26,32,1,13,14,6,2
6,2,1,26,32,1,13,14,6,2,1
2,1,26,32,1,13,14,6,2,1,32
1,26,32,1,13,14,6,2,1,32,8
26,32,1,13,14,6,2,1,32,8,102
32,1,13,14,6,2,1,32,8,102,3
1,13,14,6,2,1,32,8,102,3,4
13,14,6,2,1,32,8,102,3,4,2
14,6,2,1,32,8,102,3,4,2,2
6,2,1,32,8,102,3,4,2,2,1
2,1,32,8,102,3,4,2,2,1,1
1,32,8,102,3,4,2,2,1,1,1
32,8,102,3,4,2,2,1,1,1,18
8,102,3,4,2,2,1,1,1,18,3
102,3,4,2,2,1,1,1,18,3,78
3,4,2,2,1,1,1,18,3,78,8
